RESTAURANT POSTCODE,RESTAURANT NAME,RESTUARANT LINK,IS CLOSED
NN16 9QY,Avondale Chippy,https://deliveroo.co.uk/menu/Kettering/kettering/avondale-chippy-ket?geohash=gcr6pmnt52wh,True
NN16 9QY,Pizza Time,https://deliveroo.co.uk/menu/Kettering/kettering/pizza-time-avondale-road?geohash=gcr6pmnt52wh,True
NN16 9QY,Bella Sicilia,https://deliveroo.co.uk/menu/Kettering/kettering/bella-sicilia-kettering?geohash=gcr6pmnt52wh,True
NN16 9QY,Sedir Restaurant,https://deliveroo.co.uk/menu/Kettering/kettering/sedir-restaurant-kett?geohash=gcr6pmnt52wh,True
NN16 9QY,Mmmmm... Sandwiches & Salads,https://deliveroo.co.uk/menu/Kettering/kettering/mmmmm-sandwiches-and-salads?geohash=gcr6pmnt52wh,True
NN16 9QY,Mouth Watering Popcorn,https://deliveroo.co.uk/menu/Kettering/kettering/mouth-watering-popcorn-kettering?geohash=gcr6pmnt52wh,True
NN16 9QY,Zen Spice,https://deliveroo.co.uk/menu/Kettering/kettering/zen-spice?geohash=gcr6pmnt52wh,True
NN16 9QY,Na Szczycie,https://deliveroo.co.uk/menu/Kettering/kettering/na-szczycie?geohash=gcr6pmnt52wh,True
NN16 9QY,Mama Mia,https://deliveroo.co.uk/menu/Kettering/kettering/mama-mia-kettering?geohash=gcr6pmnt52wh,True
NN16 9QY,Avondale Convenience Store,https://deliveroo.co.uk/menu/Kettering/kettering/avondale-food-and-wine?geohash=gcr6pmnt52wh,True
NN16 9QY,Just Desserts & Things,https://deliveroo.co.uk/menu/Kettering/kettering/just-desserts-and-things?geohash=gcr6pmnt52wh,True
NN16 9QY,Just Pizza UK.com,https://deliveroo.co.uk/menu/Kettering/kettering/just-pizza-ukcom?geohash=gcr6pmnt52wh,True
NN16 9QY,The Wamas Lounge,https://deliveroo.co.uk/menu/Kettering/kettering/the-wamas-lounge?geohash=gcr6pmnt52wh,True
NN16 9QY,Lee Garden,https://deliveroo.co.uk/menu/Kettering/kettering/lee-garden-horse-market?geohash=gcr6pmnt52wh,True
NN16 9QY,Home DZert,https://deliveroo.co.uk/menu/Kettering/kettering/home-dzert?geohash=gcr6pmnt52wh,True
NN16 9QY,Absurd Bird,https://deliveroo.co.uk/menu/Kettering/kettering/mrbeast-burger-market-street-nn16?geohash=gcr6pmnt52wh,True
NN16 9QY,Casa Di Roma,https://deliveroo.co.uk/menu/Kettering/kettering/casa-di-roma-market-street?geohash=gcr6pmnt52wh,True
NN16 9QY,Jurassic Grill,https://deliveroo.co.uk/menu/Kettering/kettering/jurassic-grill-kettering?geohash=gcr6pmnt52wh,True
NN16 9QY,Red Rose,https://deliveroo.co.uk/menu/Kettering/kettering/red-rose-george-street?geohash=gcr6pmnt52wh,True
NN16 9QY,Kafe Bloc,https://deliveroo.co.uk/menu/Kettering/kettering/kafe-bloc?geohash=gcr6pmnt52wh,True
NN16 9QY,Glebe Farm Shop and Tearoom,https://deliveroo.co.uk/menu/Kettering/thorpe-malsor/glebe-farm-shop-and-tearoom?geohash=gcr6pmnt52wh,True
NN16 9QY,McAuley's,https://deliveroo.co.uk/menu/Kettering/kettering/mcauleys-kettering?geohash=gcr6pmnt52wh,True
NN16 9QY,The Trading Post,https://deliveroo.co.uk/menu/Kettering/kettering/the-trading-post?geohash=gcr6pmnt52wh,True
NN16 9QY,Incredible Bakery Company,https://deliveroo.co.uk/menu/Kettering/warkton/incredible-bakery-company?geohash=gcr6pmnt52wh,True
